date,MACD,RSI,BB_Middle,BB_Upper,BB_Lower,Moving Average2,Moving Average3,Volatility,MA_diff,ADX,Doji,Hammer_Signal,Engulfing,Harami,Three_crows,Open,High,Low,Close
2024-03-20 06:00:00,0.43076057070845764,67.47264048649072,191.9814010620117,192.9783003409478,190.98450178307561,191.65521512712752,191.05171494256882,0.29558676475475615,0.8947879246302932,28.070068912839016,0,0,0,0,0,192.73899841308594,192.8509979248047,192.5399932861328,192.5500030517578
2024-03-20 07:00:00,0.4228082170511698,68.3985316796629,192.06770095825195,192.95401946333757,191.18138245316632,191.73171506609236,191.113643464588,0.3085923383378694,0.8692828587123245,28.610816708197692,0,0,0,0,0,192.54800415039062,192.81500244140625,192.33999633789062,192.6009979248047
2024-03-20 08:00:00,0.40010255840397235,62.892579314752496,192.13210067749023,192.90468634425915,191.3595150107213,191.79146466936385,191.17150043305895,0.3021740944403776,0.6045314243861526,29.251459266956292,0,0,0,0,0,192.6009979248047,192.61000061035156,192.28799438476562,192.39599609375
2024-03-20 09:00:00,0.385278970737545,67.68549807243825,192.1917510986328,192.88249179483842,191.5010104024272,191.84560775756836,191.23438153948103,0.293131039060707,0.6743965148925781,30.09590423229636,0,0,0,0,0,192.39599609375,192.63099670410156,192.36000061035156,192.52000427246094
2024-03-20 10:00:00,0.37046712747093125,70.42239762425758,192.2385009765625,192.88580827867239,191.59119367445263,191.8957862854004,191.29973892938523,0.2721717764496359,0.6392173767089844,31.248295243315685,1,0,0,0,0,192.52000427246094,192.656005859375,192.4739990234375,192.53500366210938
2024-03-20 11:00:00,0.35652171901884344,74.04707958213862,192.2867004394531,192.8739752015158,191.69942567739042,191.9581789289202,191.36719113304503,0.23081430265279243,0.6038175310407325,32.69167043744295,0,0,0,0,2,192.5330047607422,192.6179962158203,192.47999572753906,192.56199645996094
2024-03-20 12:00:00,0.3462540205862581,74.54872581406323,192.31490020751954,192.91303190085566,191.71676851418343,192.02510724748885,191.43440537225632,0.17984266329273424,0.6118861607142776,34.237431582886195,0,1,0,0,2,192.5659942626953,192.63800048828125,192.4199981689453,192.63699340820312
2024-03-20 13:00:00,0.33868362005895847,71.64373658151865,192.34599990844725,192.95809938641364,191.73390043048087,192.08853585379464,191.50207192557198,0.1561145368424086,0.6174577985491112,35.82300957750601,0,0,0,0,2,192.63800048828125,192.73800659179688,192.5260009765625,192.70599365234375
2024-03-20 14:00:00,0.32831595656733725,68.13971918950568,192.38040008544922,192.98841601636187,191.77238415453658,192.15267889840263,191.5703099568685,0.13809783635361716,0.5373235430036232,37.20280545640585,0,0,0,0,-2,192.71099853515625,192.7550048828125,192.61599731445312,192.69000244140625
2024-03-20 15:00:00,0.3210197312391472,69.71247371557725,192.420849609375,193.01666269798548,191.82503652076454,192.22007152012415,191.64111945742653,0.11496152907225396,0.5419218880789742,38.282232150517316,0,1,0,0,0,192.69500732421875,192.7779998779297,192.53599548339844,192.76199340820312
2024-03-20 16:00:00,0.3155504854627509,67.79034726872669,192.46709976196288,193.03463327760934,191.89956624631643,192.28128596714564,191.7163816179548,0.11169170403042694,0.5407202584403024,39.11918570436708,0,0,0,0,0,192.76600646972656,192.84300231933594,192.7030029296875,192.82200622558594
2024-03-20 17:00:00,0.30437026800800027,59.84689515815653,192.51359939575195,193.00917925244752,192.01801953905638,192.33246449061804,191.786381312779,0.11361415310860583,0.42753001621790077,39.63242625284196,0,0,0,0,0,192.82000732421875,192.86500549316406,192.6699981689453,192.75999450683594
2024-03-20 18:00:00,0.28794809886568373,50.763620410737296,192.55409927368163,192.95287647382858,192.15532207353468,192.37121418544226,191.85533360072546,0.11400544467052333,0.3137833731514945,39.849577975297635,0,0,0,0,0,192.77999877929688,193.11900329589844,192.41000366210938,192.68499755859375
2024-03-20 19:00:00,0.3070667613282865,66.46246941710402,192.61284942626952,193.0732537156651,192.15244513687395,192.431213923863,191.93623824346633,0.19961923710574667,0.8467859540666893,39.728028647647996,0,0,0,0,0,192.68299865722656,193.29400634765625,192.68299865722656,193.2779998779297
2024-03-20 20:00:00,0.32512429511771757,76.76822687170144,192.670499420166,193.20725525087795,192.13374358945407,192.47771399361747,192.01607150123232,0.2642060348386266,0.8972860063825294,39.59563009538719,0,0,1,0,0,193.2899932861328,193.53199768066406,193.2740020751953,193.375
2024-03-20 21:00:00,0.3318410874892379,72.24012853595599,192.72404937744142,193.287540438436,192.16055831644684,192.52107129778182,192.0836668468657,0.29733364855638367,0.7769328526088088,39.164761622200515,0,0,0,-1,0,193.3719940185547,193.4510040283203,193.2259979248047,193.29800415039062
2024-03-20 22:00:00,0.3146349059857698,67.06169491525424,192.7542495727539,193.30191351448082,192.206585631027,192.5557141985212,192.13721429734002,0.27962825297715344,0.4162859235491112,38.510592884057125,0,0,0,0,0,193.2729949951172,193.37899780273438,192.968994140625,192.9720001220703
2024-03-20 23:00:00,0.2940461068459683,61.9926614802789,192.7733497619629,193.31439535483867,192.23230416908712,192.5898927961077,192.1825953892299,0.2666096461782854,0.32011086600167005,37.4955398888833,0,0,0,0,0,192.9759979248047,193.0780029296875,192.82899475097656,192.91000366210938
2024-03-21 00:00:00,0.26217522960982365,54.53029553967204,192.7749496459961,193.3148716287607,192.23502766323148,192.61857114519393,192.2199761526925,0.25555197389017636,0.08142580304826197,36.04846746552676,0,0,0,0,0,192.90899658203125,192.97799682617188,192.60400390625,192.6999969482422
2024-03-21 01:00:00,0.2261880028431733,50.155676857625,192.766349029541,193.3140389687206,192.2186590903614,192.64492797851562,192.26171402704148,0.25504263750196837,-0.076934814453125,34.16086645223087,0,0,0,0,0,192.70199584960938,192.75,192.33599853515625,192.5679931640625
2024-03-21 02:00:00,0.19412778118132223,47.723854980548566,192.76644897460938,193.31397338739035,192.2189245618284,192.66910661969865,192.30430930001395,0.26141954707116943,-0.1171046665736526,31.998232885420737,0,0,0,0,0,192.56399536132812,192.5780029296875,192.38999938964844,192.552001953125
2024-03-21 03:00:00,0.16737198411152576,46.166794313944976,192.7647491455078,193.3146422809426,192.21485601007302,192.68567820957728,192.3432856968471,0.269691243891044,-0.11867686680383827,29.68845201022906,1,0,0,0,0,192.55599975585938,192.64100646972656,192.4510040283203,192.56700134277344
2024-03-21 04:00:00,0.15918149435520945,53.14780614220607,192.78589935302733,193.30790649753416,192.2638922085205,192.70699964250838,192.38911910284133,0.2661527066530426,0.11200060163224634,27.385334641850427,0,0,0,0,0,192.56399536132812,192.8560028076172,192.51199340820312,192.81900024414062
2024-03-21 05:00:00,0.16792582211422769,57.55983378753946,192.8150993347168,193.33980917215587,192.29038949727772,192.7383210318429,192.4421906244187,0.271494739164228,0.36568287440709923,25.200406106675267,0,0,0,0,2,192.81399536132812,193.12100219726562,192.8070068359375,193.10400390625
2024-03-21 06:00:00,0.17838055810676678,58.0418414506459,192.84784927368165,193.38065111256313,192.31504743480016,192.7676783970424,192.49176207042876,0.281610829104517,0.4223240443638474,23.161195937217766,0,0,0,0,2,193.1060028076172,193.2790069580078,192.9949951171875,193.19000244140625
2024-03-21 07:00:00,0.1931265056673226,61.99753327177275,192.88609924316407,193.44184018139111,192.33035830493702,192.79621396745955,192.5393811180478,0.29708194052574216,0.5307818821498245,21.40634118863636,0,0,0,0,2,193.1820068359375,193.34100341796875,193.00900268554688,193.32699584960938
2024-03-21 08:00:00,0.18171888168231476,55.324739683875094,192.9025993347168,193.4466723443782,192.3585263250554,192.80689239501953,192.57192847842262,0.2876228895036803,0.16010284423828125,19.98084611242006,0,0,0,0,0,193.32899475097656,193.5019989013672,192.9040069580078,192.9669952392578
2024-03-21 09:00:00,0.16976255500026127,42.084836880477205,192.91479949951173,193.45119864356215,192.3784003554613,192.81439208984375,192.60411871047248,0.27493255204095185,0.1356048583984375,18.860495861930282,0,0,0,0,0,192.97000122070312,193.21299743652344,192.91299438476562,192.9499969482422
2024-03-21 10:00:00,0.15582474649073674,38.36624314483842,192.92554931640626,193.4514951538767,192.39960347893583,192.82707050868444,192.6239282517206,0.2483926553683632,0.07792827061243202,17.834008791244923,0,1,0,0,0,192.94900512695312,192.99200439453125,192.74400329589844,192.90499877929688
2024-03-21 11:00:00,0.12538279569599808,34.5672458500929,192.91774978637696,193.45833098366117,192.37716858909275,192.82724925449915,192.6363568987165,0.23607579130127365,-0.22124644688196327,17.11818964387623,0,0,0,0,0,192.91000366210938,192.95399475097656,192.6020050048828,192.6060028076172
2024-03-21 12:00:00,0.09384911235380855,38.46153846153846,192.90199966430663,193.4718874221484,192.33211190646486,192.83121381487166,192.64838082449776,0.2511837536817193,-0.3242100306919724,16.617934742452118,0,0,0,0,0,192.58799743652344,192.68499755859375,192.23399353027344,192.5070037841797
2024-03-21 13:00:00,0.061809565718817794,37.78624250450102,192.88444976806642,193.4930536692904,192.27584586684245,192.82724925449915,192.65923781622024,0.2725464040678411,-0.41825267246790077,16.51385002527871,0,0,-1,0,0,192.51699829101562,192.6020050048828,192.302001953125,192.40899658203125
2024-03-21 14:00:00,0.03744419124612364,43.11641995212272,192.8722999572754,193.50681940791907,192.23778050663174,192.82392774309432,192.6722139630999,0.2868897752593475,-0.38192640032087866,16.775895398743792,1,0,0,1,0,192.41700744628906,192.52999877929688,192.2790069580078,192.44200134277344
2024-03-21 15:00:00,-0.007011509062152754,37.47691001096996,192.8097999572754,193.51802919927016,192.10157071528064,192.80485643659318,192.6769282023112,0.34345609089548684,-0.7768565586634963,17.34372003469006,0,0,0,0,0,192.4409942626953,192.44400024414062,191.86399841308594,192.0279998779297
2024-03-21 16:00:00,-0.03757915210198348,40.13496276179896,192.74670028686523,193.46766231507027,192.0257382586602,192.78614262172155,192.68259502592542,0.377614365714896,-0.6731360299246774,18.118211327167874,0,0,0,0,0,192.0240020751953,192.2310028076172,191.97500610351562,192.11300659179688
2024-03-21 17:00:00,-0.06784200992569822,37.95931022653807,192.6822998046875,193.42566847901082,191.93893113036415,192.76128550938196,192.68038068498885,0.41775056112680786,-0.7512910025460258,19.05449808434734,0,0,0,0,0,192.10699462890625,192.2100067138672,191.9770050048828,192.00999450683594
